NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,Total Population at or above poverty level,At or above poverty level: Under 6 years old,At or above poverty level: 6 to 11 years old,At or above poverty level: 12 to 17 years old,At or above poverty level: 18 to 59 years old,At or above poverty level: 60 to 74 years old,At or above poverty level: 75 to 84 years old,At or above poverty level: 85 years old and over,state,county,tract,Census Tract,County
Census Tract 101; Guilford County; North Carolina,320.0,47.0,0.0,8.0,6.0,33.0,0.0,0.0,0.0,273.0,0.0,29.0,32.0,203.0,5.0,4.0,0.0,37,081,010100,101,Guilford County
Census Tract 113; Guilford County; North Carolina,542.0,102.0,56.0,0.0,0.0,46.0,0.0,0.0,0.0,440.0,51.0,54.0,0.0,335.0,0.0,0.0,0.0,37,081,011300,113,Guilford County
Census Tract 114; Guilford County; North Carolina,1139.0,547.0,0.0,103.0,204.0,240.0,0.0,0.0,0.0,592.0,108.0,121.0,120.0,243.0,0.0,0.0,0.0,37,081,011400,114,Guilford County
Census Tract 115; Guilford County; North Carolina,412.0,134.0,26.0,26.0,0.0,64.0,18.0,0.0,0.0,278.0,0.0,10.0,14.0,41.0,88.0,0.0,125.0,37,081,011500,115,Guilford County
Census Tract 116.01; Guilford County; North Carolina,793.0,94.0,31.0,9.0,7.0,47.0,0.0,0.0,0.0,699.0,43.0,178.0,62.0,403.0,0.0,13.0,0.0,37,081,011601,116.01,Guilford County
Census Tract 116.02; Guilford County; North Carolina,646.0,184.0,66.0,41.0,8.0,69.0,0.0,0.0,0.0,462.0,69.0,9.0,45.0,327.0,12.0,0.0,0.0,37,081,011602,116.02,Guilford County
Census Tract 119.04; Guilford County; North Carolina,461.0,140.0,68.0,0.0,0.0,24.0,48.0,0.0,0.0,321.0,48.0,150.0,11.0,112.0,0.0,0.0,0.0,37,081,011904,119.04,Guilford County
Census Tract 119.05; Guilford County; North Carolina,826.0,275.0,41.0,45.0,25.0,130.0,34.0,0.0,0.0,551.0,0.0,124.0,116.0,293.0,18.0,0.0,0.0,37,081,011905,119.05,Guilford County
Census Tract 125.03; Guilford County; North Carolina,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,85.0,0.0,39.0,12.0,29.0,0.0,37,081,012503,125.03,Guilford County
Census Tract 125.04; Guilford County; North Carolina,263.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,232.0,39.0,50.0,0.0,86.0,44.0,13.0,0.0,37,081,012504,125.04,Guilford County
Census Tract 125.05; Guilford County; North Carolina,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,49.0,0.0,22.0,26.0,33.0,0.0,0.0,37,081,012505,125.05,Guilford County
Census Tract 125.08; Guilford County; North Carolina,82.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,61.0,0.0,17.0,0.0,37,081,012508,125.08,Guilford County
Census Tract 125.09; Guilford County; North Carolina,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,37,081,012509,125.09,Guilford County
Census Tract 125.10; Guilford County; North Carolina,229.0,41.0,12.0,15.0,0.0,14.0,0.0,0.0,0.0,188.0,26.0,38.0,19.0,78.0,27.0,0.0,0.0,37,081,012510,125.10,Guilford County
Census Tract 125.11; Guilford County; North Carolina,840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.0,29.0,0.0,505.0,223.0,8.0,75.0,0.0,37,081,012511,125.11,Guilford County
Census Tract 126.04; Guilford County; North Carolina,942.0,667.0,90.0,133.0,182.0,220.0,42.0,0.0,0.0,275.0,23.0,71.0,22.0,159.0,0.0,0.0,0.0,37,081,012604,126.04,Guilford County
Census Tract 126.07; Guilford County; North Carolina,369.0,73.0,0.0,56.0,0.0,17.0,0.0,0.0,0.0,296.0,16.0,55.0,71.0,138.0,16.0,0.0,0.0,37,081,012607,126.07,Guilford County
Census Tract 126.08; Guilford County; North Carolina,494.0,325.0,0.0,169.0,46.0,110.0,0.0,0.0,0.0,169.0,0.0,47.0,0.0,122.0,0.0,0.0,0.0,37,081,012608,126.08,Guilford County
Census Tract 126.10; Guilford County; North Carolina,117.0,35.0,13.0,0.0,0.0,22.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,37,081,012610,126.10,Guilford County
Census Tract 126.11; Guilford County; North Carolina,1152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.0,188.0,116.0,223.0,551.0,59.0,15.0,0.0,37,081,012611,126.11,Guilford County
Census Tract 126.12; Guilford County; North Carolina,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,37,081,012612,126.12,Guilford County
Census Tract 126.17; Guilford County; North Carolina,674.0,296.0,79.0,119.0,0.0,65.0,33.0,0.0,0.0,378.0,0.0,90.0,107.0,161.0,20.0,0.0,0.0,37,081,012617,126.17,Guilford County
Census Tract 126.18; Guilford County; North Carolina,777.0,96.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,681.0,0.0,0.0,130.0,481.0,53.0,17.0,0.0,37,081,012618,126.18,Guilford County
Census Tract 126.19; Guilford County; North Carolina,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,128.0,21.0,0.0,71.0,7.0,0.0,0.0,37,081,012619,126.19,Guilford County
Census Tract 126.20; Guilford County; North Carolina,237.0,90.0,30.0,39.0,0.0,21.0,0.0,0.0,0.0,147.0,0.0,0.0,3.0,132.0,12.0,0.0,0.0,37,081,012620,126.20,Guilford County
Census Tract 126.21; Guilford County; North Carolina,690.0,211.0,37.0,41.0,26.0,107.0,0.0,0.0,0.0,479.0,0.0,72.0,73.0,334.0,0.0,0.0,0.0,37,081,012621,126.21,Guilford County
Census Tract 127.03; Guilford County; North Carolina,655.0,564.0,0.0,186.0,135.0,243.0,0.0,0.0,0.0,91.0,29.0,0.0,0.0,62.0,0.0,0.0,0.0,37,081,012703,127.03,Guilford County
Census Tract 127.04; Guilford County; North Carolina,1022.0,239.0,100.0,54.0,0.0,85.0,0.0,0.0,0.0,783.0,22.0,117.0,82.0,534.0,28.0,0.0,0.0,37,081,012704,127.04,Guilford County
Census Tract 127.05; Guilford County; North Carolina,452.0,46.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,406.0,52.0,42.0,88.0,224.0,0.0,0.0,0.0,37,081,012705,127.05,Guilford County
Census Tract 127.06; Guilford County; North Carolina,559.0,148.0,0.0,52.0,0.0,68.0,28.0,0.0,0.0,411.0,20.0,132.0,32.0,227.0,0.0,0.0,0.0,37,081,012706,127.06,Guilford County
Census Tract 127.07; Guilford County; North Carolina,579.0,68.0,12.0,0.0,26.0,30.0,0.0,0.0,0.0,511.0,23.0,56.0,194.0,233.0,5.0,0.0,0.0,37,081,012707,127.07,Guilford County
Census Tract 128.03; Guilford County; North Carolina,1126.0,41.0,0.0,0.0,23.0,18.0,0.0,0.0,0.0,1085.0,64.0,0.0,46.0,772.0,203.0,0.0,0.0,37,081,012803,128.03,Guilford County
Census Tract 128.04; Guilford County; North Carolina,547.0,299.0,51.0,101.0,53.0,80.0,14.0,0.0,0.0,248.0,0.0,33.0,49.0,166.0,0.0,0.0,0.0,37,081,012804,128.04,Guilford County
Census Tract 128.05; Guilford County; North Carolina,139.0,49.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,90.0,60.0,0.0,0.0,30.0,0.0,0.0,0.0,37,081,012805,128.05,Guilford County
Census Tract 136.01; Guilford County; North Carolina,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,29.0,97.0,23.0,0.0,0.0,37,081,013601,136.01,Guilford County
Census Tract 136.02; Guilford County; North Carolina,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,68.0,40.0,0.0,352.0,0.0,0.0,0.0,37,081,013602,136.02,Guilford County
Census Tract 137; Guilford County; North Carolina,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,76.0,37.0,68.0,75.0,0.0,0.0,12.0,37,081,013700,137,Guilford County
Census Tract 138; Guilford County; North Carolina,946.0,380.0,41.0,93.0,163.0,83.0,0.0,0.0,0.0,566.0,130.0,129.0,102.0,205.0,0.0,0.0,0.0,37,081,013800,138,Guilford County
Census Tract 139; Guilford County; North Carolina,677.0,220.0,107.0,0.0,0.0,113.0,0.0,0.0,0.0,457.0,50.0,74.0,32.0,269.0,32.0,0.0,0.0,37,081,013900,139,Guilford County
Census Tract 140; Guilford County; North Carolina,1152.0,246.0,31.0,34.0,21.0,133.0,27.0,0.0,0.0,906.0,160.0,48.0,69.0,624.0,0.0,5.0,0.0,37,081,014000,140,Guilford County
Census Tract 142; Guilford County; North Carolina,1186.0,575.0,52.0,279.0,162.0,82.0,0.0,0.0,0.0,611.0,42.0,19.0,69.0,447.0,34.0,0.0,0.0,37,081,014200,142,Guilford County
Census Tract 143; Guilford County; North Carolina,659.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,658.0,0.0,57.0,58.0,510.0,33.0,0.0,0.0,37,081,014300,143,Guilford County
Census Tract 144.06; Guilford County; North Carolina,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,32.0,17.0,103.0,211.0,0.0,0.0,0.0,37,081,014406,144.06,Guilford County
Census Tract 144.07; Guilford County; North Carolina,361.0,86.0,0.0,0.0,0.0,71.0,15.0,0.0,0.0,275.0,0.0,19.0,69.0,144.0,43.0,0.0,0.0,37,081,014407,144.07,Guilford County
Census Tract 144.08; Guilford County; North Carolina,294.0,26.0,0.0,0.0,0.0,8.0,18.0,0.0,0.0,268.0,20.0,32.0,80.0,136.0,0.0,0.0,0.0,37,081,014408,144.08,Guilford County
Census Tract 144.09; Guilford County; North Carolina,214.0,48.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,166.0,38.0,27.0,0.0,101.0,0.0,0.0,0.0,37,081,014409,144.09,Guilford County
Census Tract 144.10; Guilford County; North Carolina,132.0,113.0,25.0,0.0,0.0,71.0,11.0,0.0,6.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,37,081,014410,144.10,Guilford County
Census Tract 144.11; Guilford County; North Carolina,445.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,428.0,140.0,0.0,29.0,244.0,15.0,0.0,0.0,37,081,014411,144.11,Guilford County
Census Tract 144.12; Guilford County; North Carolina,395.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,383.0,29.0,48.0,0.0,120.0,135.0,51.0,0.0,37,081,014412,144.12,Guilford County
Census Tract 145.01; Guilford County; North Carolina,702.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,689.0,113.0,134.0,138.0,304.0,0.0,0.0,0.0,37,081,014501,145.01,Guilford County
Census Tract 145.02; Guilford County; North Carolina,870.0,129.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,741.0,64.0,64.0,216.0,374.0,23.0,0.0,0.0,37,081,014502,145.02,Guilford County
Census Tract 145.03; Guilford County; North Carolina,718.0,159.0,24.0,27.0,0.0,108.0,0.0,0.0,0.0,559.0,268.0,30.0,25.0,236.0,0.0,0.0,0.0,37,081,014503,145.03,Guilford County
Census Tract 151; Guilford County; North Carolina,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,73.0,113.0,76.0,250.0,0.0,0.0,0.0,37,081,015100,151,Guilford County
Census Tract 152.01; Guilford County; North Carolina,126.0,126.0,91.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,081,015201,152.01,Guilford County
Census Tract 152.02; Guilford County; North Carolina,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,6.0,0.0,18.0,145.0,6.0,0.0,0.0,37,081,015202,152.02,Guilford County
Census Tract 153.01; Guilford County; North Carolina,175.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,154.0,30.0,12.0,0.0,86.0,24.0,2.0,0.0,37,081,015301,153.01,Guilford County
Census Tract 153.02; Guilford County; North Carolina,749.0,55.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,694.0,42.0,60.0,217.0,375.0,0.0,0.0,0.0,37,081,015302,153.02,Guilford County
Census Tract 154.01; Guilford County; North Carolina,480.0,83.0,0.0,46.0,0.0,37.0,0.0,0.0,0.0,397.0,53.0,44.0,27.0,273.0,0.0,0.0,0.0,37,081,015401,154.01,Guilford County
Census Tract 154.02; Guilford County; North Carolina,999.0,207.0,0.0,0.0,0.0,139.0,37.0,31.0,0.0,792.0,59.0,7.0,167.0,531.0,12.0,16.0,0.0,37,081,015402,154.02,Guilford County
Census Tract 155; Guilford County; North Carolina,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,60.0,112.0,40.0,208.0,46.0,2.0,0.0,37,081,015500,155,Guilford County
Census Tract 156.01; Guilford County; North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,081,015601,156.01,Guilford County
Census Tract 156.02; Guilford County; North Carolina,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0,46.0,20.0,19.0,595.0,24.0,0.0,0.0,37,081,015602,156.02,Guilford County
