NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,Total Population at or above poverty level,At or above poverty level: Under 6 years old,At or above poverty level: 6 to 11 years old,At or above poverty level: 12 to 17 years old,At or above poverty level: 18 to 59 years old,At or above poverty level: 60 to 74 years old,At or above poverty level: 75 to 84 years old,At or above poverty level: 85 years old and over,state,county,tract,Census Tract,County
Census Tract 101; Guilford County; North Carolina,371.0,47.0,0.0,0.0,0.0,34.0,3.0,10.0,0.0,324.0,30.0,17.0,56.0,189.0,31.0,0.0,1.0,37,081,010100,101,Guilford County
Census Tract 207.01; Alamance County; North Carolina,3891.0,409.0,0.0,0.0,66.0,37.0,176.0,65.0,65.0,3482.0,137.0,231.0,186.0,1706.0,782.0,286.0,154.0,37,001,020701,207.01,Alamance County
Census Tract 207.02; Alamance County; North Carolina,2182.0,134.0,0.0,0.0,0.0,50.0,24.0,60.0,0.0,2048.0,109.0,50.0,128.0,987.0,481.0,240.0,53.0,37,001,020702,207.02,Alamance County
Census Tract 208.01; Alamance County; North Carolina,935.0,78.0,0.0,5.0,22.0,24.0,17.0,10.0,0.0,857.0,48.0,57.0,18.0,369.0,194.0,121.0,50.0,37,001,020801,208.01,Alamance County
Census Tract 208.02; Alamance County; North Carolina,1332.0,72.0,0.0,0.0,0.0,18.0,8.0,25.0,21.0,1260.0,45.0,0.0,0.0,745.0,392.0,39.0,39.0,37,001,020802,208.02,Alamance County
Census Tract 209.01; Alamance County; North Carolina,2360.0,79.0,0.0,0.0,0.0,36.0,26.0,17.0,0.0,2281.0,176.0,159.0,55.0,1152.0,315.0,234.0,190.0,37,001,020901,209.01,Alamance County
Census Tract 209.02; Alamance County; North Carolina,3451.0,456.0,39.0,12.0,50.0,313.0,29.0,0.0,13.0,2995.0,265.0,222.0,195.0,1330.0,613.0,308.0,62.0,37,001,020902,209.02,Alamance County
Census Tract 210; Alamance County; North Carolina,1460.0,405.0,15.0,0.0,0.0,279.0,93.0,18.0,0.0,1055.0,69.0,80.0,21.0,483.0,356.0,41.0,5.0,37,001,021000,210,Alamance County
Census Tract 211.01; Alamance County; North Carolina,1998.0,197.0,0.0,0.0,0.0,82.0,70.0,0.0,45.0,1801.0,45.0,94.0,65.0,1083.0,307.0,155.0,52.0,37,001,021101,211.01,Alamance County
Census Tract 211.02; Alamance County; North Carolina,2016.0,254.0,30.0,35.0,0.0,132.0,17.0,40.0,0.0,1762.0,66.0,55.0,79.0,1070.0,265.0,67.0,160.0,37,001,021102,211.02,Alamance County
Census Tract 212.01; Alamance County; North Carolina,2727.0,323.0,80.0,0.0,5.0,163.0,54.0,7.0,14.0,2404.0,172.0,95.0,32.0,1491.0,463.0,126.0,25.0,37,001,021201,212.01,Alamance County
Census Tract 212.04; Alamance County; North Carolina,3310.0,154.0,22.0,0.0,20.0,58.0,22.0,32.0,0.0,3156.0,138.0,145.0,160.0,1893.0,615.0,186.0,19.0,37,001,021204,212.04,Alamance County
Census Tract 212.05; Alamance County; North Carolina,3424.0,121.0,0.0,0.0,3.0,105.0,0.0,13.0,0.0,3303.0,106.0,189.0,238.0,1945.0,574.0,236.0,15.0,37,001,021205,212.05,Alamance County
Census Tract 212.06; Alamance County; North Carolina,3558.0,407.0,59.0,0.0,39.0,218.0,80.0,11.0,0.0,3151.0,150.0,196.0,235.0,1840.0,606.0,124.0,0.0,37,001,021206,212.06,Alamance County
Census Tract 212.07; Alamance County; North Carolina,2876.0,172.0,0.0,20.0,0.0,38.0,84.0,13.0,17.0,2704.0,218.0,221.0,149.0,1351.0,606.0,104.0,55.0,37,001,021207,212.07,Alamance County
Census Tract 213; Alamance County; North Carolina,3930.0,242.0,4.0,4.0,28.0,128.0,57.0,18.0,3.0,3688.0,235.0,228.0,227.0,2163.0,648.0,139.0,48.0,37,001,021300,213,Alamance County
Census Tract 214; Alamance County; North Carolina,1727.0,141.0,17.0,0.0,0.0,84.0,29.0,10.0,1.0,1586.0,44.0,87.0,32.0,785.0,380.0,210.0,48.0,37,001,021400,214,Alamance County
Census Tract 215; Alamance County; North Carolina,4047.0,221.0,18.0,55.0,0.0,71.0,23.0,46.0,8.0,3826.0,241.0,197.0,312.0,2079.0,815.0,123.0,59.0,37,001,021500,215,Alamance County
Census Tract 216; Alamance County; North Carolina,4500.0,460.0,6.0,0.0,3.0,250.0,42.0,143.0,16.0,4040.0,263.0,336.0,481.0,2034.0,553.0,211.0,162.0,37,001,021600,216,Alamance County
Census Tract 217.01; Alamance County; North Carolina,3267.0,244.0,0.0,42.0,25.0,148.0,27.0,2.0,0.0,3023.0,71.0,233.0,190.0,1308.0,579.0,455.0,187.0,37,001,021701,217.01,Alamance County
Census Tract 217.02; Alamance County; North Carolina,4127.0,1053.0,0.0,0.0,13.0,913.0,98.0,22.0,7.0,3074.0,95.0,162.0,379.0,1514.0,638.0,182.0,104.0,37,001,021702,217.02,Alamance County
Census Tract 217.03; Alamance County; North Carolina,4234.0,56.0,0.0,0.0,0.0,31.0,5.0,20.0,0.0,4178.0,146.0,500.0,255.0,2204.0,619.0,408.0,46.0,37,001,021703,217.03,Alamance County
Census Tract 218.01; Alamance County; North Carolina,4276.0,166.0,9.0,11.0,25.0,33.0,17.0,41.0,30.0,4110.0,188.0,321.0,441.0,2017.0,847.0,197.0,99.0,37,001,021801,218.01,Alamance County
Census Tract 218.02; Alamance County; North Carolina,3267.0,542.0,72.0,25.0,14.0,276.0,126.0,29.0,0.0,2725.0,182.0,208.0,152.0,1505.0,569.0,101.0,8.0,37,001,021802,218.02,Alamance County
Census Tract 218.03; Alamance County; North Carolina,2761.0,217.0,0.0,10.0,16.0,79.0,68.0,8.0,36.0,2544.0,233.0,135.0,152.0,1285.0,543.0,145.0,51.0,37,001,021803,218.03,Alamance County
Census Tract 219.01; Alamance County; North Carolina,3808.0,342.0,37.0,15.0,14.0,87.0,168.0,11.0,10.0,3466.0,117.0,116.0,222.0,1882.0,901.0,182.0,46.0,37,001,021901,219.01,Alamance County
Census Tract 219.02; Alamance County; North Carolina,2850.0,313.0,10.0,41.0,27.0,162.0,52.0,9.0,12.0,2537.0,144.0,151.0,246.0,1318.0,535.0,134.0,9.0,37,001,021902,219.02,Alamance County
Census Tract 220.01; Alamance County; North Carolina,3023.0,131.0,27.0,0.0,0.0,90.0,9.0,0.0,5.0,2892.0,271.0,152.0,124.0,1517.0,572.0,178.0,78.0,37,001,022001,220.01,Alamance County
Census Tract 220.02; Alamance County; North Carolina,3250.0,269.0,3.0,1.0,28.0,206.0,19.0,11.0,1.0,2981.0,115.0,328.0,165.0,1608.0,626.0,124.0,15.0,37,001,022002,220.02,Alamance County
Census Tract 401.01; Rockingham County; North Carolina,2751.0,254.0,12.0,4.0,25.0,128.0,52.0,10.0,23.0,2497.0,117.0,75.0,119.0,1309.0,587.0,232.0,58.0,37,157,040101,401.01,Rockingham County
Census Tract 401.02; Rockingham County; North Carolina,1624.0,106.0,0.0,17.0,4.0,52.0,33.0,0.0,0.0,1518.0,40.0,69.0,116.0,691.0,506.0,86.0,10.0,37,157,040102,401.02,Rockingham County
Census Tract 402; Rockingham County; North Carolina,1993.0,399.0,14.0,10.0,16.0,272.0,30.0,26.0,31.0,1594.0,35.0,123.0,45.0,912.0,352.0,106.0,21.0,37,157,040200,402,Rockingham County
Census Tract 403; Rockingham County; North Carolina,2638.0,317.0,57.0,0.0,0.0,142.0,70.0,15.0,33.0,2321.0,23.0,123.0,173.0,1058.0,574.0,310.0,60.0,37,157,040300,403,Rockingham County
