County,tract,pct_no_vehicle,pct_fewer_vehicles
Guilford County,16410,0.0,27.7014652014652
Guilford County,16502,6.771595900439238,22.14494875549048
Guilford County,16503,0.8428860418071477,33.88401888064734
Guilford County,16505,4.329608938547486,32.02979515828678
Guilford County,16506,1.1017838405036726,28.593913955928645
Guilford County,16600,2.0761245674740483,39.10034602076124
Guilford County,16701,3.247004252029378,27.17433320448396
Guilford County,16702,2.292263610315186,26.64756446991404
Guilford County,16800,3.6165327210103326,38.71986222732492
Guilford County,16900,3.193277310924369,22.857142857142858
Guilford County,17000,3.303143313798615,22.322855620671284
Guilford County,17101,4.972919743968488,24.81536189069424
Guilford County,17102,3.3296337402885685,32.075471698113205
Guilford County,17200,3.0258946755891767,20.33750363689264
Guilford County,980100,0.0,0.0
Forsyth County,100,6.60628662759723,20.884389984017048
