NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,Total Population at or above poverty level,At or above poverty level: Under 6 years old,At or above poverty level: 6 to 11 years old,At or above poverty level: 12 to 17 years old,At or above poverty level: 18 to 59 years old,At or above poverty level: 60 to 74 years old,At or above poverty level: 75 to 84 years old,At or above poverty level: 85 years old and over,state,county,tract,Census Tract,County
Census Tract 101; Guilford County; North Carolina,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,18.0,10.0,85.0,5.0,4.0,0.0,37,081,010100,101,Guilford County
Census Tract 111.01; Guilford County; North Carolina,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,30.0,0.0,0.0,49.0,0.0,0.0,0.0,37,081,011101,111.01,Guilford County
Census Tract 111.02; Guilford County; North Carolina,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,37,081,011102,111.02,Guilford County
Census Tract 112.01; Guilford County; North Carolina,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,37,081,011201,112.01,Guilford County
Census Tract 112.02; Guilford County; North Carolina,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,32.0,0.0,36.0,0.0,0.0,0.0,37,081,011202,112.02,Guilford County
Census Tract 113; Guilford County; North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,081,011300,113,Guilford County
Census Tract 114; Guilford County; North Carolina,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,108.0,121.0,120.0,155.0,0.0,23.0,0.0,37,081,011400,114,Guilford County
Census Tract 115; Guilford County; North Carolina,376.0,134.0,26.0,26.0,0.0,64.0,18.0,0.0,0.0,242.0,0.0,0.0,14.0,24.0,79.0,0.0,125.0,37,081,011500,115,Guilford County
Census Tract 116.01; Guilford County; North Carolina,279.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,256.0,27.0,65.0,0.0,151.0,0.0,13.0,0.0,37,081,011601,116.01,Guilford County
Census Tract 116.02; Guilford County; North Carolina,299.0,184.0,66.0,41.0,8.0,69.0,0.0,0.0,0.0,115.0,28.0,0.0,5.0,82.0,0.0,0.0,0.0,37,081,011602,116.02,Guilford County
Census Tract 119.04; Guilford County; North Carolina,382.0,158.0,68.0,0.0,9.0,33.0,48.0,0.0,0.0,224.0,48.0,99.0,0.0,77.0,0.0,0.0,0.0,37,081,011904,119.04,Guilford County
Census Tract 119.05; Guilford County; North Carolina,723.0,378.0,78.0,78.0,25.0,163.0,34.0,0.0,0.0,345.0,0.0,74.0,58.0,195.0,18.0,0.0,0.0,37,081,011905,119.05,Guilford County
Census Tract 125.03; Guilford County; North Carolina,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,19.0,0.0,14.0,0.0,37,081,012503,125.03,Guilford County
Census Tract 125.04; Guilford County; North Carolina,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,27.0,32.0,12.0,0.0,37,081,012504,125.04,Guilford County
