NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,Total Population at or above poverty level,At or above poverty level: Under 6 years old,At or above poverty level: 6 to 11 years old,At or above poverty level: 12 to 17 years old,At or above poverty level: 18 to 59 years old,At or above poverty level: 60 to 74 years old,At or above poverty level: 75 to 84 years old,At or above poverty level: 85 years old and over,state,county,tract,Census Tract,County
Census Tract 101; Guilford County; North Carolina,988.0,332.0,48.0,48.0,27.0,144.0,28.0,27.0,10.0,656.0,28.0,34.0,74.0,401.0,105.0,14.0,0.0,37,081,010100,101,Guilford County
Census Tract 126.12; Guilford County; North Carolina,4250.0,1518.0,282.0,176.0,327.0,386.0,246.0,101.0,0.0,2732.0,21.0,125.0,60.0,1774.0,681.0,52.0,19.0,37,081,012612,126.12,Guilford County
Census Tract 126.17; Guilford County; North Carolina,2149.0,112.0,12.0,14.0,14.0,71.0,0.0,1.0,0.0,2037.0,114.0,306.0,137.0,1148.0,263.0,42.0,27.0,37,081,012617,126.17,Guilford County
Census Tract 126.18; Guilford County; North Carolina,2593.0,973.0,0.0,187.0,0.0,744.0,42.0,0.0,0.0,1620.0,78.0,115.0,199.0,1204.0,24.0,0.0,0.0,37,081,012618,126.18,Guilford County
Census Tract 126.19; Guilford County; North Carolina,2077.0,806.0,0.0,183.0,159.0,464.0,0.0,0.0,0.0,1271.0,128.0,0.0,0.0,997.0,140.0,0.0,6.0,37,081,012619,126.19,Guilford County
Census Tract 126.20; Guilford County; North Carolina,2529.0,687.0,233.0,39.0,18.0,339.0,50.0,8.0,0.0,1842.0,99.0,287.0,99.0,1125.0,219.0,13.0,0.0,37,081,012620,126.20,Guilford County
Census Tract 126.21; Guilford County; North Carolina,1269.0,195.0,0.0,0.0,0.0,87.0,95.0,13.0,0.0,1074.0,12.0,0.0,274.0,551.0,211.0,17.0,9.0,37,081,012621,126.21,Guilford County
Census Tract 127.03; Guilford County; North Carolina,1183.0,362.0,0.0,73.0,65.0,193.0,0.0,31.0,0.0,821.0,77.0,0.0,73.0,500.0,99.0,72.0,0.0,37,081,012703,127.03,Guilford County
Census Tract 127.04; Guilford County; North Carolina,2315.0,1081.0,0.0,122.0,298.0,466.0,195.0,0.0,0.0,1234.0,0.0,145.0,108.0,672.0,283.0,26.0,0.0,37,081,012704,127.04,Guilford County
Census Tract 127.05; Guilford County; North Carolina,3650.0,1134.0,363.0,122.0,167.0,388.0,40.0,54.0,0.0,2516.0,59.0,119.0,157.0,1309.0,639.0,155.0,78.0,37,081,012705,127.05,Guilford County
Census Tract 127.06; Guilford County; North Carolina,3010.0,1314.0,434.0,230.0,16.0,315.0,306.0,13.0,0.0,1696.0,104.0,119.0,88.0,728.0,383.0,102.0,172.0,37,081,012706,127.06,Guilford County
