NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,Total Population at or above poverty level,At or above poverty level: Under 6 years old,At or above poverty level: 6 to 11 years old,At or above poverty level: 12 to 17 years old,At or above poverty level: 18 to 59 years old,At or above poverty level: 60 to 74 years old,At or above poverty level: 75 to 84 years old,At or above poverty level: 85 years old and over,state,county,tract,Census Tract,County
Census Tract 101; Guilford County; North Carolina,153.0,47.0,0.0,8.0,6.0,33.0,0.0,0.0,0.0,106.0,0.0,11.0,22.0,73.0,0.0,0.0,0.0,37,081,010100,101,Guilford County
Census Tract 163.04; Guilford County; North Carolina,343.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,333.0,14.0,8.0,22.0,262.0,6.0,21.0,0.0,37,081,016304,163.04,Guilford County
Census Tract 163.05; Guilford County; North Carolina,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,12.0,7.0,45.0,54.0,0.0,0.0,0.0,37,081,016305,163.05,Guilford County
Census Tract 163.06; Guilford County; North Carolina,447.0,146.0,0.0,0.0,65.0,81.0,0.0,0.0,0.0,301.0,30.0,0.0,0.0,271.0,0.0,0.0,0.0,37,081,016306,163.06,Guilford County
Census Tract 164.05; Guilford County; North Carolina,44.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,38.0,0.0,0.0,6.0,32.0,0.0,0.0,0.0,37,081,016405,164.05,Guilford County
Census Tract 164.06; Guilford County; North Carolina,487.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,469.0,107.0,104.0,25.0,214.0,19.0,0.0,0.0,37,081,016406,164.06,Guilford County
Census Tract 164.07; Guilford County; North Carolina,122.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,113.0,15.0,0.0,11.0,87.0,0.0,0.0,0.0,37,081,016407,164.07,Guilford County
Census Tract 164.08; Guilford County; North Carolina,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,3.0,0.0,13.0,10.0,0.0,0.0,37,081,016408,164.08,Guilford County
Census Tract 164.09; Guilford County; North Carolina,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,37,081,016409,164.09,Guilford County
Census Tract 164.10; Guilford County; North Carolina,290.0,73.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,217.0,0.0,28.0,103.0,67.0,19.0,0.0,0.0,37,081,016410,164.10,Guilford County
Census Tract 165.02; Guilford County; North Carolina,337.0,69.0,0.0,19.0,0.0,50.0,0.0,0.0,0.0,268.0,33.0,0.0,45.0,159.0,16.0,0.0,15.0,37,081,016502,165.02,Guilford County
