NAME,Total Households,Total Households with No Vehicle Available,Total Households with 1 Vehicle Available,Total Households with 2 Vehicles Available,Total Households with 3 Vehicles Available,Total Households with 4 or More Vehicles Available,Total 1-Person Households,1-Person Households with No Vehicle Available,1-Person Households with 1 Vehicle Available,1-Person Households with 2 Vehicles Available,1-Person Households with 3 Vehicles Available,1-Person Households with 4 or More Vehicles Available,Total 2-Person Households,2-Person Households with No Vehicle Available,2-Person Households with 1 Vehicle Available,2-Person Households with 2 Vehicles Available,2-Person Households with 3 Vehicles Available,2-Person Households with 4 or More Vehicles Available,Total 3-Person Households,3-Person Households with No Vehicle Available,3-Person Households with 1 Vehicle Available,3-Person Households with 2 Vehicles Available,3-Person Households with 3 Vehicles Available,3-Person Households with 4 or More Vehicles Available,Total 4-or-More-Person Households,4-or-More-Person Households with No Vehicle Available,4-or-More-Person Households with 1 Vehicle Available,4-or-More-Person Households with 2 Vehicles Available,4-or-More-Person Households with 3 Vehicles Available,state,county,tract,Census Tract,County,pct_no_vehicle,pct_fewer_vehicles
Census Tract 17; Forsyth County; North Carolina,2305.0,311.0,827.0,835.0,238.0,94.0,937.0,252.0,509.0,145.0,31.0,0.0,888.0,42.0,217.0,511.0,72.0,46.0,255.0,17.0,87.0,27.0,124.0,0.0,225.0,0.0,14.0,152.0,11.0,37,067,001700,17,Forsyth County,13.49240780911063,35.05422993492408
Census Tract 18; Forsyth County; North Carolina,1624.0,125.0,616.0,533.0,282.0,68.0,609.0,125.0,190.0,115.0,169.0,10.0,556.0,0.0,331.0,181.0,36.0,8.0,197.0,0.0,42.0,65.0,40.0,50.0,262.0,0.0,53.0,172.0,37.0,37,067,001800,18,Forsyth County,7.69704433497537,48.522167487684726
Census Tract 19.01; Forsyth County; North Carolina,591.0,81.0,256.0,163.0,76.0,15.0,201.0,66.0,100.0,0.0,35.0,0.0,123.0,4.0,44.0,59.0,16.0,0.0,163.0,11.0,92.0,40.0,20.0,0.0,104.0,0.0,20.0,64.0,5.0,37,067,001901,19.01,Forsyth County,13.705583756345177,57.69881556683587
Census Tract 19.02; Forsyth County; North Carolina,796.0,5.0,249.0,400.0,92.0,50.0,329.0,5.0,246.0,71.0,7.0,0.0,233.0,0.0,3.0,178.0,26.0,26.0,95.0,0.0,0.0,57.0,26.0,12.0,139.0,0.0,0.0,94.0,33.0,37,067,001902,19.02,Forsyth County,0.628140703517588,19.974874371859297
Census Tract 20.01; Forsyth County; North Carolina,895.0,93.0,340.0,262.0,121.0,79.0,387.0,57.0,243.0,70.0,7.0,10.0,245.0,0.0,53.0,103.0,52.0,37.0,55.0,20.0,0.0,9.0,26.0,0.0,208.0,16.0,44.0,80.0,36.0,37,067,002001,20.01,Forsyth County,10.391061452513966,31.1731843575419
Census Tract 20.02; Forsyth County; North Carolina,1582.0,46.0,886.0,367.0,165.0,118.0,471.0,20.0,375.0,76.0,0.0,0.0,682.0,13.0,409.0,184.0,49.0,27.0,40.0,0.0,0.0,30.0,10.0,0.0,389.0,13.0,102.0,77.0,106.0,37,067,002002,20.02,Forsyth County,2.9077117572692797,41.97218710493047
Census Tract 21; Forsyth County; North Carolina,951.0,36.0,299.0,447.0,111.0,58.0,241.0,10.0,178.0,53.0,0.0,0.0,501.0,17.0,111.0,268.0,84.0,21.0,131.0,9.0,0.0,97.0,18.0,7.0,78.0,0.0,10.0,29.0,9.0,37,067,002100,21,Forsyth County,3.7854889589905363,29.758149316508938
Census Tract 22; Forsyth County; North Carolina,1717.0,71.0,580.0,808.0,221.0,37.0,512.0,71.0,378.0,53.0,10.0,0.0,799.0,0.0,155.0,530.0,114.0,0.0,249.0,0.0,21.0,177.0,51.0,0.0,157.0,0.0,26.0,48.0,46.0,37,067,002200,22,Forsyth County,4.135119394292371,29.004076878276063
Census Tract 25.01; Forsyth County; North Carolina,1121.0,10.0,268.0,605.0,164.0,74.0,316.0,9.0,236.0,71.0,0.0,0.0,485.0,1.0,24.0,353.0,63.0,44.0,120.0,0.0,8.0,39.0,63.0,10.0,200.0,0.0,0.0,142.0,38.0,37,067,002501,25.01,Forsyth County,0.8920606601248885,19.892952720785015
Census Tract 25.02; Forsyth County; North Carolina,1255.0,0.0,326.0,702.0,146.0,81.0,222.0,0.0,188.0,25.0,9.0,0.0,647.0,0.0,120.0,449.0,35.0,43.0,123.0,0.0,11.0,61.0,34.0,17.0,263.0,0.0,7.0,167.0,68.0,37,067,002502,25.02,Forsyth County,0.0,29.163346613545816
Census Tract 26.01; Forsyth County; North Carolina,1146.0,8.0,291.0,747.0,61.0,39.0,275.0,8.0,220.0,47.0,0.0,0.0,368.0,0.0,47.0,284.0,37.0,0.0,131.0,0.0,10.0,101.0,9.0,11.0,372.0,0.0,14.0,315.0,15.0,37,067,002601,26.01,Forsyth County,0.6980802792321117,43.19371727748691
Census Tract 26.04; Forsyth County; North Carolina,2116.0,72.0,269.0,1041.0,510.0,224.0,226.0,72.0,87.0,51.0,0.0,16.0,941.0,0.0,154.0,564.0,194.0,29.0,366.0,0.0,28.0,115.0,160.0,63.0,583.0,0.0,0.0,311.0,156.0,37,067,002604,26.04,Forsyth County,3.402646502835539,32.136105860113425
Census Tract 26.05; Forsyth County; North Carolina,1092.0,46.0,631.0,194.0,200.0,21.0,535.0,46.0,468.0,21.0,0.0,0.0,277.0,0.0,109.0,77.0,91.0,0.0,106.0,0.0,30.0,31.0,45.0,0.0,174.0,0.0,24.0,65.0,64.0,37,067,002605,26.05,Forsyth County,4.212454212454213,27.93040293040293
Census Tract 26.06; Forsyth County; North Carolina,1686.0,19.0,611.0,717.0,202.0,137.0,477.0,0.0,351.0,126.0,0.0,0.0,753.0,19.0,200.0,403.0,119.0,12.0,199.0,0.0,29.0,35.0,43.0,92.0,257.0,0.0,31.0,153.0,40.0,37,067,002606,26.06,Forsyth County,1.1269276393831553,27.698695136417555
Census Tract 27.01; Forsyth County; North Carolina,2532.0,183.0,1063.0,639.0,464.0,183.0,950.0,183.0,700.0,54.0,13.0,0.0,645.0,0.0,163.0,343.0,101.0,38.0,81.0,0.0,58.0,0.0,23.0,0.0,856.0,0.0,142.0,242.0,327.0,37,067,002701,27.01,Forsyth County,7.2274881516587675,31.1216429699842
Census Tract 27.02; Forsyth County; North Carolina,2402.0,340.0,1445.0,463.0,110.0,44.0,1191.0,163.0,847.0,115.0,66.0,0.0,697.0,151.0,374.0,128.0,44.0,0.0,297.0,0.0,33.0,220.0,0.0,44.0,217.0,26.0,191.0,0.0,0.0,37,067,002702,27.02,Forsyth County,14.154870940882597,48.2098251457119
Census Tract 27.04; Forsyth County; North Carolina,1512.0,164.0,1031.0,292.0,0.0,25.0,1060.0,164.0,852.0,44.0,0.0,0.0,280.0,0.0,112.0,168.0,0.0,0.0,33.0,0.0,33.0,0.0,0.0,0.0,139.0,0.0,34.0,80.0,0.0,37,067,002704,27.04,Forsyth County,10.846560846560847,27.976190476190474
Census Tract 27.05; Forsyth County; North Carolina,1558.0,219.0,825.0,497.0,0.0,17.0,720.0,189.0,531.0,0.0,0.0,0.0,663.0,30.0,207.0,409.0,0.0,17.0,8.0,0.0,8.0,0.0,0.0,0.0,167.0,0.0,79.0,88.0,0.0,37,067,002705,27.05,Forsyth County,14.05648267008986,38.57509627727856
Census Tract 28.01; Forsyth County; North Carolina,1749.0,0.0,318.0,756.0,442.0,233.0,257.0,0.0,205.0,25.0,27.0,0.0,753.0,0.0,78.0,343.0,223.0,109.0,376.0,0.0,35.0,141.0,111.0,89.0,363.0,0.0,0.0,247.0,81.0,37,067,002801,28.01,Forsyth County,0.0,28.644939965694682
Census Tract 28.04; Forsyth County; North Carolina,1321.0,22.0,330.0,550.0,258.0,161.0,352.0,22.0,191.0,87.0,21.0,31.0,510.0,0.0,82.0,237.0,167.0,24.0,189.0,0.0,57.0,99.0,21.0,12.0,270.0,0.0,0.0,127.0,49.0,37,067,002804,28.04,Forsyth County,1.6654049962149888,29.295987887963665
Census Tract 28.06; Forsyth County; North Carolina,1291.0,145.0,564.0,450.0,87.0,45.0,412.0,90.0,283.0,39.0,0.0,0.0,450.0,55.0,143.0,204.0,40.0,8.0,209.0,0.0,23.0,162.0,24.0,0.0,220.0,0.0,115.0,45.0,23.0,37,067,002806,28.06,Forsyth County,11.23160340821069,49.03175832687839
Census Tract 28.07; Forsyth County; North Carolina,2275.0,70.0,535.0,849.0,708.0,113.0,531.0,0.0,344.0,171.0,16.0,0.0,1140.0,0.0,168.0,413.0,539.0,20.0,283.0,70.0,23.0,50.0,111.0,29.0,321.0,0.0,0.0,215.0,42.0,37,067,002807,28.07,Forsyth County,3.076923076923077,23.12087912087912
Census Tract 28.08; Forsyth County; North Carolina,1692.0,62.0,409.0,802.0,330.0,89.0,541.0,5.0,285.0,193.0,47.0,11.0,625.0,20.0,78.0,377.0,136.0,14.0,304.0,0.0,46.0,161.0,61.0,36.0,222.0,37.0,0.0,71.0,86.0,37,067,002808,28.08,Forsyth County,3.664302600472813,24.70449172576832
Census Tract 28.09; Forsyth County; North Carolina,1299.0,15.0,339.0,557.0,297.0,91.0,327.0,2.0,254.0,48.0,23.0,0.0,374.0,3.0,32.0,149.0,159.0,31.0,324.0,10.0,30.0,192.0,83.0,9.0,274.0,0.0,23.0,168.0,32.0,37,067,002809,28.09,Forsyth County,1.1547344110854503,35.411855273287145
Census Tract 29.01; Forsyth County; North Carolina,1881.0,94.0,430.0,775.0,336.0,246.0,403.0,54.0,193.0,112.0,29.0,15.0,706.0,0.0,138.0,317.0,99.0,152.0,330.0,17.0,43.0,153.0,104.0,13.0,442.0,23.0,56.0,193.0,104.0,37,067,002901,29.01,Forsyth County,4.9973418394471025,35.99149388623073
Census Tract 29.03; Forsyth County; North Carolina,1287.0,163.0,193.0,463.0,336.0,132.0,222.0,22.0,120.0,52.0,28.0,0.0,415.0,46.0,32.0,181.0,101.0,55.0,342.0,0.0,41.0,169.0,122.0,10.0,308.0,95.0,0.0,61.0,85.0,37,067,002903,29.03,Forsyth County,12.665112665112666,36.20823620823621
Census Tract 29.04; Forsyth County; North Carolina,896.0,17.0,336.0,281.0,157.0,105.0,268.0,17.0,171.0,37.0,23.0,20.0,399.0,0.0,79.0,174.0,108.0,38.0,171.0,0.0,86.0,40.0,21.0,24.0,58.0,0.0,0.0,30.0,5.0,37,067,002904,29.04,Forsyth County,1.8973214285714284,28.125
Census Tract 30.02; Forsyth County; North Carolina,1608.0,36.0,388.0,702.0,347.0,135.0,470.0,11.0,315.0,124.0,20.0,0.0,637.0,8.0,48.0,403.0,129.0,49.0,140.0,0.0,25.0,65.0,50.0,0.0,361.0,17.0,0.0,110.0,148.0,37,067,003002,30.02,Forsyth County,2.2388059701492535,17.66169154228856
Census Tract 30.03; Forsyth County; North Carolina,1299.0,0.0,251.0,549.0,266.0,233.0,157.0,0.0,127.0,17.0,13.0,0.0,519.0,0.0,84.0,298.0,98.0,39.0,184.0,0.0,22.0,43.0,75.0,44.0,439.0,0.0,18.0,191.0,80.0,37,067,003003,30.03,Forsyth County,0.0,27.55966127790608
Census Tract 30.04; Forsyth County; North Carolina,1472.0,69.0,320.0,746.0,195.0,142.0,351.0,69.0,251.0,31.0,0.0,0.0,673.0,0.0,0.0,511.0,122.0,40.0,257.0,0.0,43.0,137.0,14.0,63.0,191.0,0.0,26.0,67.0,59.0,37,067,003004,30.04,Forsyth County,4.6875,23.233695652173914
Census Tract 31.03; Forsyth County; North Carolina,2422.0,15.0,556.0,999.0,556.0,296.0,496.0,0.0,351.0,136.0,9.0,0.0,1150.0,0.0,167.0,492.0,348.0,143.0,347.0,15.0,12.0,179.0,73.0,68.0,429.0,0.0,26.0,192.0,126.0,37,067,003103,31.03,Forsyth County,0.6193228736581338,24.40132122213047
Census Tract 31.05; Forsyth County; North Carolina,1388.0,8.0,383.0,454.0,388.0,155.0,302.0,8.0,221.0,39.0,34.0,0.0,444.0,0.0,52.0,220.0,98.0,74.0,231.0,0.0,27.0,63.0,120.0,21.0,411.0,0.0,83.0,132.0,136.0,37,067,003105,31.05,Forsyth County,0.5763688760806917,26.296829971181555
Census Tract 31.06; Forsyth County; North Carolina,1423.0,30.0,179.0,678.0,306.0,230.0,313.0,12.0,162.0,125.0,14.0,0.0,560.0,0.0,10.0,358.0,110.0,82.0,217.0,18.0,7.0,54.0,98.0,40.0,333.0,0.0,0.0,141.0,84.0,37,067,003106,31.06,Forsyth County,2.1082220660576247,17.00632466619817
Census Tract 31.07; Forsyth County; North Carolina,1726.0,35.0,347.0,719.0,347.0,278.0,412.0,19.0,192.0,119.0,31.0,51.0,781.0,16.0,109.0,344.0,204.0,108.0,212.0,0.0,31.0,92.0,63.0,26.0,321.0,0.0,15.0,164.0,49.0,37,067,003107,31.07,Forsyth County,2.0278099652375436,25.840092699884124
Census Tract 31.08; Forsyth County; North Carolina,1480.0,105.0,537.0,326.0,327.0,185.0,509.0,105.0,289.0,70.0,12.0,33.0,410.0,0.0,125.0,189.0,81.0,15.0,301.0,0.0,61.0,43.0,84.0,113.0,260.0,0.0,62.0,24.0,150.0,37,067,003108,31.08,Forsyth County,7.094594594594595,28.37837837837838
Census Tract 32.01; Forsyth County; North Carolina,2166.0,126.0,615.0,775.0,480.0,170.0,698.0,81.0,496.0,71.0,50.0,0.0,623.0,20.0,43.0,306.0,218.0,36.0,437.0,0.0,76.0,205.0,156.0,0.0,408.0,25.0,0.0,193.0,56.0,37,067,003201,32.01,Forsyth County,5.8171745152354575,29.686057248384117
Census Tract 32.02; Forsyth County; North Carolina,1838.0,89.0,755.0,651.0,290.0,53.0,852.0,68.0,577.0,131.0,76.0,0.0,460.0,21.0,73.0,297.0,69.0,0.0,266.0,0.0,78.0,106.0,54.0,28.0,260.0,0.0,27.0,117.0,91.0,37,067,003202,32.02,Forsyth County,4.842219804134929,26.659412404787812
Census Tract 33.07; Forsyth County; North Carolina,1670.0,83.0,462.0,591.0,347.0,187.0,376.0,49.0,245.0,74.0,8.0,0.0,586.0,0.0,167.0,290.0,125.0,4.0,250.0,0.0,50.0,98.0,76.0,26.0,458.0,34.0,0.0,129.0,138.0,37,067,003307,33.07,Forsyth County,4.970059880239521,31.55688622754491
Census Tract 33.08; Forsyth County; North Carolina,3004.0,49.0,486.0,1114.0,780.0,575.0,359.0,49.0,207.0,103.0,0.0,0.0,1104.0,0.0,185.0,518.0,251.0,150.0,993.0,0.0,94.0,308.0,315.0,276.0,548.0,0.0,0.0,185.0,214.0,37,067,003308,33.08,Forsyth County,1.6311584553928096,27.330226364846872
Census Tract 33.09; Forsyth County; North Carolina,2169.0,173.0,652.0,720.0,464.0,160.0,857.0,118.0,390.0,335.0,14.0,0.0,442.0,0.0,87.0,221.0,134.0,0.0,292.0,30.0,128.0,57.0,28.0,49.0,578.0,25.0,47.0,107.0,288.0,37,067,003309,33.09,Forsyth County,7.976025818349469,27.616413093591518
Census Tract 33.10; Forsyth County; North Carolina,1646.0,62.0,414.0,678.0,332.0,160.0,386.0,12.0,291.0,83.0,0.0,0.0,394.0,0.0,25.0,251.0,118.0,0.0,320.0,0.0,64.0,151.0,28.0,77.0,546.0,50.0,34.0,193.0,186.0,37,067,003310,33.10,Forsyth County,3.766707168894289,32.13851761846902
Census Tract 33.11; Forsyth County; North Carolina,756.0,4.0,209.0,273.0,184.0,86.0,165.0,0.0,121.0,37.0,7.0,0.0,271.0,4.0,41.0,138.0,75.0,13.0,180.0,0.0,47.0,54.0,75.0,4.0,140.0,0.0,0.0,44.0,27.0,37,067,003311,33.11,Forsyth County,0.5291005291005291,25.132275132275133
Census Tract 33.12; Forsyth County; North Carolina,1916.0,12.0,609.0,896.0,338.0,61.0,690.0,12.0,419.0,211.0,48.0,0.0,672.0,0.0,76.0,406.0,183.0,7.0,291.0,0.0,99.0,125.0,49.0,18.0,263.0,0.0,15.0,154.0,58.0,37,067,003312,33.12,Forsyth County,0.6263048016701461,25.104384133611692
Census Tract 33.13; Forsyth County; North Carolina,503.0,7.0,104.0,210.0,95.0,87.0,114.0,0.0,85.0,23.0,0.0,6.0,194.0,7.0,19.0,108.0,51.0,9.0,79.0,0.0,0.0,22.0,16.0,41.0,116.0,0.0,0.0,57.0,28.0,37,067,003313,33.13,Forsyth County,1.3916500994035785,20.87475149105368
Census Tract 33.14; Forsyth County; North Carolina,1493.0,22.0,415.0,417.0,404.0,235.0,387.0,7.0,298.0,72.0,10.0,0.0,614.0,15.0,103.0,246.0,139.0,111.0,210.0,0.0,11.0,39.0,91.0,69.0,282.0,0.0,3.0,60.0,164.0,37,067,003314,33.14,Forsyth County,1.4735432016075016,15.9410582719357
Census Tract 33.15; Forsyth County; North Carolina,1889.0,61.0,788.0,626.0,302.0,112.0,903.0,61.0,603.0,210.0,29.0,0.0,534.0,0.0,112.0,224.0,117.0,81.0,297.0,0.0,46.0,100.0,151.0,0.0,155.0,0.0,27.0,92.0,5.0,37,067,003315,33.15,Forsyth County,3.229221810481736,23.186871360508206
Census Tract 34.02; Forsyth County; North Carolina,1148.0,47.0,271.0,380.0,351.0,99.0,297.0,47.0,189.0,61.0,0.0,0.0,406.0,0.0,60.0,173.0,124.0,49.0,213.0,0.0,17.0,26.0,161.0,9.0,232.0,0.0,5.0,120.0,66.0,37,067,003402,34.02,Forsyth County,4.094076655052264,23.954703832752614
Census Tract 34.03; Forsyth County; North Carolina,1081.0,127.0,470.0,285.0,118.0,81.0,509.0,127.0,332.0,50.0,0.0,0.0,170.0,0.0,26.0,108.0,36.0,0.0,92.0,0.0,26.0,65.0,1.0,0.0,310.0,0.0,86.0,62.0,81.0,37,067,003403,34.03,Forsyth County,11.748381128584644,36.2627197039778
Census Tract 34.04; Forsyth County; North Carolina,1484.0,133.0,427.0,605.0,208.0,111.0,485.0,58.0,271.0,126.0,30.0,0.0,347.0,9.0,98.0,116.0,124.0,0.0,157.0,0.0,58.0,99.0,0.0,0.0,495.0,66.0,0.0,264.0,54.0,37,067,003404,34.04,Forsyth County,8.962264150943396,43.935309973045825
Census Tract 35; Forsyth County; North Carolina,3067.0,129.0,1316.0,1006.0,431.0,185.0,760.0,45.0,395.0,218.0,40.0,62.0,1262.0,58.0,785.0,209.0,129.0,81.0,260.0,26.0,102.0,79.0,53.0,0.0,785.0,0.0,34.0,500.0,209.0,37,067,003500,35,Forsyth County,4.206064558200195,53.113791979132706
Census Tract 36; Forsyth County; North Carolina,2598.0,159.0,909.0,906.0,422.0,202.0,585.0,111.0,424.0,33.0,17.0,0.0,884.0,18.0,175.0,575.0,86.0,30.0,324.0,30.0,65.0,85.0,144.0,0.0,805.0,0.0,245.0,213.0,175.0,37,067,003600,36,Forsyth County,6.1200923787528865,36.25866050808314
Census Tract 37.01; Forsyth County; North Carolina,1923.0,97.0,1198.0,540.0,63.0,25.0,804.0,51.0,701.0,27.0,0.0,25.0,772.0,0.0,328.0,425.0,19.0,0.0,199.0,46.0,38.0,88.0,27.0,0.0,148.0,0.0,131.0,0.0,17.0,37,067,003701,37.01,Forsyth County,5.044201768070723,35.46541861674467
Census Tract 37.02; Forsyth County; North Carolina,2151.0,23.0,867.0,615.0,636.0,10.0,565.0,8.0,408.0,121.0,28.0,0.0,640.0,0.0,178.0,277.0,185.0,0.0,540.0,15.0,256.0,139.0,120.0,10.0,406.0,0.0,25.0,78.0,303.0,37,067,003702,37.02,Forsyth County,1.0692701069270107,32.49651324965132
Census Tract 37.03; Forsyth County; North Carolina,3514.0,102.0,1503.0,1337.0,390.0,182.0,1359.0,102.0,1014.0,243.0,0.0,0.0,850.0,0.0,205.0,583.0,34.0,28.0,738.0,0.0,284.0,200.0,223.0,31.0,567.0,0.0,0.0,311.0,133.0,37,067,003703,37.03,Forsyth County,2.902675014228799,31.360273192942515
Census Tract 38.03; Forsyth County; North Carolina,2026.0,68.0,851.0,821.0,226.0,60.0,738.0,0.0,532.0,206.0,0.0,0.0,888.0,68.0,285.0,306.0,192.0,37.0,320.0,0.0,17.0,246.0,34.0,23.0,80.0,0.0,17.0,63.0,0.0,37,067,003803,38.03,Forsyth County,3.356367226061204,34.35340572556762
Census Tract 38.04; Forsyth County; North Carolina,2632.0,94.0,1360.0,1024.0,79.0,75.0,1365.0,94.0,1144.0,127.0,0.0,0.0,915.0,0.0,196.0,653.0,48.0,18.0,291.0,0.0,0.0,221.0,31.0,39.0,61.0,0.0,20.0,23.0,0.0,37,067,003804,38.04,Forsyth County,3.571428571428571,21.048632218844986
Census Tract 38.05; Forsyth County; North Carolina,2965.0,195.0,1062.0,1208.0,472.0,28.0,1254.0,157.0,945.0,109.0,43.0,0.0,978.0,38.0,70.0,670.0,200.0,0.0,236.0,0.0,31.0,56.0,149.0,0.0,497.0,0.0,16.0,373.0,80.0,37,067,003805,38.05,Forsyth County,6.57672849915683,24.991568296795954
Census Tract 38.06; Forsyth County; North Carolina,1265.0,0.0,333.0,556.0,322.0,54.0,292.0,0.0,189.0,72.0,18.0,13.0,400.0,0.0,52.0,267.0,55.0,26.0,174.0,0.0,54.0,52.0,68.0,0.0,399.0,0.0,38.0,165.0,181.0,37,067,003806,38.06,Forsyth County,0.0,28.537549407114625
Census Tract 39.03; Forsyth County; North Carolina,2181.0,372.0,1063.0,540.0,190.0,16.0,800.0,304.0,488.0,8.0,0.0,0.0,879.0,0.0,412.0,304.0,163.0,0.0,156.0,68.0,73.0,15.0,0.0,0.0,346.0,0.0,90.0,213.0,27.0,37,067,003903,39.03,Forsyth County,17.05639614855571,53.874369555249885
Census Tract 39.04; Forsyth County; North Carolina,3226.0,122.0,1333.0,1440.0,244.0,87.0,1032.0,14.0,945.0,73.0,0.0,0.0,1160.0,14.0,152.0,921.0,73.0,0.0,489.0,20.0,148.0,135.0,134.0,52.0,545.0,74.0,88.0,311.0,37.0,37,067,003904,39.04,Forsyth County,3.781773093614383,29.634221946683198
Census Tract 39.05; Forsyth County; North Carolina,2459.0,301.0,1133.0,770.0,232.0,23.0,1131.0,196.0,858.0,77.0,0.0,0.0,775.0,105.0,201.0,400.0,46.0,23.0,410.0,0.0,74.0,150.0,186.0,0.0,143.0,0.0,0.0,143.0,0.0,37,067,003905,39.05,Forsyth County,12.240748271655145,35.339568930459535
Census Tract 39.06; Forsyth County; North Carolina,1351.0,10.0,313.0,560.0,295.0,173.0,281.0,0.0,221.0,51.0,9.0,0.0,457.0,0.0,69.0,219.0,147.0,22.0,308.0,10.0,0.0,106.0,109.0,83.0,305.0,0.0,23.0,184.0,30.0,37,067,003906,39.06,Forsyth County,0.7401924500370096,29.015544041450777
Census Tract 39.08; Forsyth County; North Carolina,1243.0,15.0,158.0,588.0,385.0,97.0,203.0,15.0,128.0,39.0,5.0,16.0,431.0,0.0,23.0,301.0,86.0,21.0,255.0,0.0,7.0,62.0,143.0,43.0,354.0,0.0,0.0,186.0,151.0,37,067,003908,39.08,Forsyth County,1.2067578439259854,23.572003218020917
Census Tract 39.09; Forsyth County; North Carolina,1659.0,89.0,706.0,417.0,381.0,66.0,489.0,57.0,388.0,29.0,15.0,0.0,632.0,16.0,281.0,202.0,133.0,0.0,271.0,16.0,9.0,107.0,73.0,66.0,267.0,0.0,28.0,79.0,160.0,37,067,003909,39.09,Forsyth County,5.364677516576251,35.74442435201929
Census Tract 40.05; Forsyth County; North Carolina,2062.0,29.0,447.0,1070.0,380.0,136.0,522.0,12.0,364.0,108.0,27.0,11.0,813.0,17.0,70.0,522.0,194.0,10.0,408.0,0.0,13.0,188.0,148.0,59.0,319.0,0.0,0.0,252.0,11.0,37,067,004005,40.05,Forsyth County,1.4064015518913677,26.77012609117362
Census Tract 40.07; Forsyth County; North Carolina,3017.0,49.0,400.0,1190.0,709.0,669.0,663.0,49.0,298.0,205.0,74.0,37.0,902.0,0.0,58.0,427.0,268.0,149.0,537.0,0.0,0.0,145.0,225.0,167.0,915.0,0.0,44.0,413.0,142.0,37,067,004007,40.07,Forsyth County,1.6241299303944314,23.50016572754392
Census Tract 40.09; Forsyth County; North Carolina,1784.0,22.0,370.0,793.0,287.0,312.0,223.0,0.0,165.0,35.0,0.0,23.0,664.0,0.0,97.0,350.0,183.0,34.0,307.0,22.0,68.0,118.0,61.0,38.0,590.0,0.0,40.0,290.0,43.0,37,067,004009,40.09,Forsyth County,1.2331838565022422,35.59417040358744
Census Tract 40.10; Forsyth County; North Carolina,2454.0,0.0,1116.0,1026.0,232.0,80.0,1017.0,0.0,880.0,137.0,0.0,0.0,602.0,0.0,104.0,374.0,106.0,18.0,380.0,0.0,102.0,195.0,40.0,43.0,455.0,0.0,30.0,320.0,86.0,37,067,004010,40.10,Forsyth County,0.0,30.603096984515076
Census Tract 40.11; Forsyth County; North Carolina,2561.0,85.0,593.0,1208.0,456.0,219.0,854.0,27.0,478.0,289.0,60.0,0.0,898.0,8.0,93.0,453.0,236.0,108.0,345.0,50.0,22.0,208.0,17.0,48.0,464.0,0.0,0.0,258.0,143.0,37,067,004011,40.11,Forsyth County,3.3190160093713397,26.00546661460367
Census Tract 40.12; Forsyth County; North Carolina,2400.0,120.0,735.0,914.0,447.0,184.0,729.0,102.0,450.0,136.0,41.0,0.0,899.0,18.0,164.0,550.0,117.0,50.0,289.0,0.0,16.0,80.0,156.0,37.0,483.0,0.0,105.0,148.0,133.0,37,067,004012,40.12,Forsyth County,5.0,26.375
Census Tract 40.13; Forsyth County; North Carolina,1461.0,34.0,453.0,578.0,187.0,209.0,484.0,29.0,299.0,119.0,37.0,0.0,506.0,5.0,139.0,221.0,65.0,76.0,127.0,0.0,9.0,87.0,7.0,24.0,344.0,0.0,6.0,151.0,78.0,37,067,004013,40.13,Forsyth County,2.327173169062286,29.15811088295688
Census Tract 40.14; Forsyth County; North Carolina,1773.0,34.0,607.0,831.0,178.0,123.0,513.0,22.0,393.0,65.0,0.0,33.0,775.0,12.0,110.0,537.0,92.0,24.0,228.0,0.0,69.0,99.0,39.0,21.0,257.0,0.0,35.0,130.0,47.0,37,067,004014,40.14,Forsyth County,1.9176536943034406,26.903553299492387
Census Tract 40.15; Forsyth County; North Carolina,1977.0,27.0,426.0,1075.0,333.0,116.0,373.0,27.0,262.0,84.0,0.0,0.0,819.0,0.0,106.0,542.0,155.0,16.0,358.0,0.0,44.0,168.0,64.0,82.0,427.0,0.0,14.0,281.0,114.0,37,067,004015,40.15,Forsyth County,1.3657056145675266,32.372281234193224
Census Tract 41.02; Forsyth County; North Carolina,1166.0,51.0,203.0,437.0,331.0,144.0,323.0,20.0,133.0,86.0,46.0,38.0,492.0,0.0,58.0,242.0,135.0,57.0,229.0,31.0,12.0,66.0,111.0,9.0,122.0,0.0,0.0,43.0,39.0,37,067,004102,41.02,Forsyth County,4.373927958833619,19.725557461406517
Census Tract 41.03; Forsyth County; North Carolina,1711.0,9.0,444.0,847.0,332.0,79.0,306.0,9.0,253.0,36.0,8.0,0.0,591.0,0.0,111.0,348.0,122.0,10.0,313.0,0.0,60.0,145.0,97.0,11.0,501.0,0.0,20.0,318.0,105.0,37,067,004103,41.03,Forsyth County,0.5260081823495032,38.74926943308007
Census Tract 41.04; Forsyth County; North Carolina,1583.0,13.0,368.0,738.0,269.0,195.0,256.0,0.0,152.0,104.0,0.0,0.0,593.0,0.0,99.0,286.0,144.0,64.0,298.0,13.0,117.0,55.0,80.0,33.0,436.0,0.0,0.0,293.0,45.0,37,067,004104,41.04,Forsyth County,0.82122552116235,36.44977890082122
Census Tract 9301.01; Surry County; North Carolina,941.0,34.0,158.0,276.0,176.0,297.0,235.0,29.0,94.0,82.0,15.0,15.0,314.0,5.0,11.0,152.0,100.0,46.0,116.0,0.0,29.0,33.0,7.0,47.0,276.0,0.0,24.0,9.0,54.0,37,171,930101,9301.01,Surry County,3.6131774707757707,14.87778958554729
