NAME,Total Households,Total Households with No Vehicle Available,Total Households with 1 Vehicle Available,Total Households with 2 Vehicles Available,Total Households with 3 Vehicles Available,Total Households with 4 or More Vehicles Available,Total 1-Person Households,1-Person Households with No Vehicle Available,1-Person Households with 1 Vehicle Available,1-Person Households with 2 Vehicles Available,1-Person Households with 3 Vehicles Available,1-Person Households with 4 or More Vehicles Available,Total 2-Person Households,2-Person Households with No Vehicle Available,2-Person Households with 1 Vehicle Available,2-Person Households with 2 Vehicles Available,2-Person Households with 3 Vehicles Available,2-Person Households with 4 or More Vehicles Available,Total 3-Person Households,3-Person Households with No Vehicle Available,3-Person Households with 1 Vehicle Available,3-Person Households with 2 Vehicles Available,3-Person Households with 3 Vehicles Available,3-Person Households with 4 or More Vehicles Available,Total 4-or-More-Person Households,4-or-More-Person Households with No Vehicle Available,4-or-More-Person Households with 1 Vehicle Available,4-or-More-Person Households with 2 Vehicles Available,4-or-More-Person Households with 3 Vehicles Available,state,county,tract,Census Tract,County,pct_no_vehicle,pct_fewer_vehicles
Census Tract 125.03; Guilford County; North Carolina,1788.0,91.0,568.0,757.0,298.0,74.0,593.0,91.0,399.0,99.0,0.0,4.0,617.0,0.0,76.0,404.0,137.0,0.0,307.0,0.0,79.0,132.0,59.0,37.0,271.0,0.0,14.0,122.0,102.0,37,081,012503,125.03,Guilford County,5.089485458612975,28.747203579418343
Census Tract 125.04; Guilford County; North Carolina,1297.0,61.0,625.0,430.0,172.0,9.0,480.0,17.0,384.0,79.0,0.0,0.0,370.0,27.0,135.0,181.0,27.0,0.0,149.0,17.0,43.0,80.0,0.0,9.0,298.0,0.0,63.0,90.0,145.0,37,081,012504,125.04,Guilford County,4.703161141094834,36.39167309175019
Census Tract 125.05; Guilford County; North Carolina,1565.0,7.0,223.0,855.0,297.0,183.0,307.0,7.0,169.0,80.0,51.0,0.0,675.0,0.0,54.0,459.0,94.0,68.0,223.0,0.0,0.0,106.0,81.0,36.0,360.0,0.0,0.0,210.0,71.0,37,081,012505,125.05,Guilford County,0.44728434504792336,24.089456869009584
Census Tract 125.08; Guilford County; North Carolina,1418.0,31.0,584.0,553.0,225.0,25.0,636.0,21.0,522.0,93.0,0.0,0.0,390.0,0.0,49.0,252.0,78.0,11.0,155.0,0.0,13.0,87.0,47.0,8.0,237.0,10.0,0.0,121.0,100.0,37,081,012508,125.08,Guilford County,2.1861777150916786,21.227080394922424
Census Tract 125.09; Guilford County; North Carolina,932.0,12.0,204.0,482.0,167.0,67.0,136.0,12.0,101.0,12.0,11.0,0.0,474.0,0.0,26.0,345.0,103.0,0.0,141.0,0.0,72.0,53.0,9.0,7.0,181.0,0.0,5.0,72.0,44.0,37,081,012509,125.09,Guilford County,1.2875536480686696,25.751072961373392
Census Tract 125.10; Guilford County; North Carolina,1405.0,20.0,261.0,709.0,355.0,60.0,268.0,20.0,140.0,101.0,7.0,0.0,635.0,0.0,117.0,362.0,151.0,5.0,270.0,0.0,0.0,94.0,154.0,22.0,232.0,0.0,4.0,152.0,43.0,37,081,012510,125.10,Guilford County,1.4234875444839856,27.544483985765126
Census Tract 125.11; Guilford County; North Carolina,1818.0,0.0,283.0,1042.0,341.0,152.0,255.0,0.0,192.0,42.0,21.0,0.0,763.0,0.0,59.0,503.0,108.0,93.0,345.0,0.0,32.0,175.0,79.0,59.0,455.0,0.0,0.0,322.0,133.0,37,081,012511,125.11,Guilford County,0.0,32.34323432343234
Census Tract 126.04; Guilford County; North Carolina,1543.0,289.0,491.0,564.0,66.0,133.0,591.0,254.0,272.0,43.0,22.0,0.0,455.0,35.0,171.0,190.0,8.0,51.0,195.0,0.0,48.0,99.0,14.0,34.0,302.0,0.0,0.0,232.0,22.0,37,081,012604,126.04,Guilford County,18.729747245625404,54.37459494491251
Census Tract 126.07; Guilford County; North Carolina,1162.0,36.0,308.0,471.0,75.0,272.0,311.0,4.0,93.0,197.0,0.0,17.0,382.0,0.0,183.0,161.0,38.0,0.0,266.0,32.0,8.0,59.0,10.0,157.0,203.0,0.0,24.0,54.0,27.0,37,081,012607,126.07,Guilford County,3.098106712564544,31.325301204819276
Census Tract 126.08; Guilford County; North Carolina,1187.0,281.0,590.0,287.0,29.0,0.0,470.0,80.0,338.0,52.0,0.0,0.0,347.0,99.0,157.0,88.0,3.0,0.0,281.0,82.0,95.0,78.0,26.0,0.0,89.0,20.0,0.0,69.0,0.0,37,081,012608,126.08,Guilford County,23.67312552653749,57.287278854254424
Census Tract 126.10; Guilford County; North Carolina,1141.0,76.0,434.0,471.0,121.0,39.0,247.0,8.0,202.0,37.0,0.0,0.0,471.0,11.0,187.0,186.0,81.0,6.0,133.0,10.0,30.0,72.0,11.0,10.0,290.0,47.0,15.0,176.0,29.0,37,081,012610,126.10,Guilford County,6.660823838737949,48.729184925503944
Census Tract 126.11; Guilford County; North Carolina,1798.0,154.0,936.0,469.0,162.0,77.0,830.0,29.0,735.0,66.0,0.0,0.0,385.0,63.0,90.0,196.0,19.0,17.0,179.0,62.0,56.0,20.0,35.0,6.0,404.0,0.0,55.0,187.0,108.0,37,081,012611,126.11,Guilford County,8.565072302558399,31.25695216907675
Census Tract 126.12; Guilford County; North Carolina,2665.0,150.0,649.0,1171.0,500.0,195.0,1007.0,87.0,444.0,266.0,189.0,21.0,851.0,45.0,99.0,512.0,171.0,24.0,236.0,0.0,26.0,107.0,39.0,64.0,571.0,18.0,80.0,286.0,101.0,37,081,012612,126.12,Guilford County,5.628517823639775,28.067542213883677
Census Tract 126.17; Guilford County; North Carolina,1473.0,71.0,620.0,584.0,49.0,149.0,435.0,31.0,352.0,33.0,9.0,10.0,435.0,15.0,119.0,235.0,21.0,45.0,361.0,14.0,33.0,261.0,19.0,34.0,242.0,11.0,116.0,55.0,0.0,37,081,012617,126.17,Guilford County,4.820095044127631,44.46707399864223
Census Tract 126.18; Guilford County; North Carolina,2057.0,253.0,1190.0,453.0,131.0,30.0,746.0,201.0,545.0,0.0,0.0,0.0,597.0,14.0,186.0,359.0,38.0,0.0,561.0,38.0,351.0,79.0,93.0,0.0,153.0,0.0,108.0,15.0,0.0,37,081,012618,126.18,Guilford County,12.299465240641712,48.22557122022363
Census Tract 126.19; Guilford County; North Carolina,1886.0,284.0,940.0,563.0,83.0,16.0,851.0,242.0,551.0,58.0,0.0,0.0,552.0,9.0,231.0,299.0,13.0,0.0,270.0,33.0,158.0,66.0,13.0,0.0,213.0,0.0,0.0,140.0,57.0,37,081,012619,126.19,Guilford County,15.058324496288442,46.60657476139979
Census Tract 126.20; Guilford County; North Carolina,1393.0,89.0,547.0,431.0,274.0,52.0,417.0,68.0,239.0,92.0,18.0,0.0,317.0,21.0,128.0,132.0,36.0,0.0,296.0,0.0,140.0,10.0,146.0,0.0,363.0,0.0,40.0,197.0,74.0,37,081,012620,126.20,Guilford County,6.389088298636038,43.35965541995693
Census Tract 126.21; Guilford County; North Carolina,1883.0,86.0,1054.0,375.0,198.0,170.0,668.0,76.0,508.0,84.0,0.0,0.0,737.0,10.0,490.0,138.0,41.0,58.0,120.0,0.0,0.0,65.0,55.0,0.0,358.0,0.0,56.0,88.0,102.0,37,081,012621,126.21,Guilford County,4.567180031864047,41.688794476898565
Census Tract 127.03; Guilford County; North Carolina,2051.0,315.0,877.0,770.0,42.0,47.0,697.0,245.0,385.0,52.0,15.0,0.0,703.0,12.0,228.0,450.0,13.0,0.0,283.0,29.0,103.0,137.0,14.0,0.0,368.0,29.0,161.0,131.0,0.0,37,081,012703,127.03,Guilford County,15.358361774744028,52.41345685031692
Census Tract 127.04; Guilford County; North Carolina,1497.0,402.0,521.0,324.0,175.0,75.0,502.0,187.0,234.0,81.0,0.0,0.0,274.0,0.0,85.0,173.0,16.0,0.0,441.0,180.0,76.0,70.0,97.0,18.0,280.0,35.0,126.0,0.0,62.0,37,081,012704,127.04,Guilford County,26.853707414829657,50.701402805611224
Census Tract 127.05; Guilford County; North Carolina,1533.0,128.0,603.0,377.0,357.0,68.0,407.0,64.0,211.0,51.0,76.0,5.0,358.0,30.0,66.0,177.0,55.0,30.0,359.0,11.0,114.0,116.0,108.0,10.0,409.0,23.0,212.0,33.0,118.0,37,081,012705,127.05,Guilford County,8.349641226353555,43.639921722113506
Census Tract 127.06; Guilford County; North Carolina,1463.0,114.0,440.0,721.0,152.0,36.0,639.0,84.0,327.0,228.0,0.0,0.0,305.0,30.0,82.0,180.0,0.0,13.0,117.0,0.0,0.0,40.0,69.0,8.0,402.0,0.0,31.0,273.0,83.0,37,081,012706,127.06,Guilford County,7.792207792207792,36.91045796308954
Census Tract 127.07; Guilford County; North Carolina,1033.0,159.0,471.0,272.0,92.0,39.0,381.0,92.0,170.0,80.0,39.0,0.0,284.0,14.0,157.0,65.0,48.0,0.0,143.0,11.0,69.0,24.0,0.0,39.0,225.0,42.0,75.0,103.0,5.0,37,081,012707,127.07,Guilford County,15.392061955469508,56.82478218780252
Census Tract 128.03; Guilford County; North Carolina,3534.0,211.0,1158.0,1050.0,317.0,798.0,982.0,49.0,570.0,308.0,39.0,16.0,1024.0,36.0,355.0,415.0,87.0,131.0,921.0,105.0,172.0,199.0,104.0,341.0,607.0,21.0,61.0,128.0,87.0,37,081,012803,128.03,Guilford County,5.970571590265988,31.86191284663271
Census Tract 128.04; Guilford County; North Carolina,1969.0,131.0,657.0,826.0,298.0,57.0,658.0,52.0,404.0,92.0,110.0,0.0,476.0,8.0,121.0,270.0,41.0,36.0,554.0,60.0,66.0,384.0,36.0,8.0,281.0,11.0,66.0,80.0,111.0,37,081,012804,128.04,Guilford County,6.653123412899949,43.0675469781615
Census Tract 128.05; Guilford County; North Carolina,1406.0,47.0,765.0,301.0,198.0,95.0,757.0,47.0,573.0,125.0,12.0,0.0,236.0,0.0,84.0,60.0,69.0,23.0,188.0,0.0,6.0,58.0,103.0,21.0,225.0,0.0,102.0,58.0,14.0,37,081,012805,128.05,Guilford County,3.342816500711238,25.248933143669987
Census Tract 136.01; Guilford County; North Carolina,426.0,19.0,230.0,126.0,51.0,0.0,176.0,0.0,170.0,6.0,0.0,0.0,140.0,0.0,47.0,80.0,13.0,0.0,41.0,19.0,13.0,0.0,9.0,0.0,69.0,0.0,0.0,40.0,29.0,37,081,013601,136.01,Guilford County,4.460093896713615,27.934272300469484
Census Tract 136.02; Guilford County; North Carolina,1606.0,92.0,687.0,496.0,222.0,109.0,478.0,9.0,378.0,49.0,42.0,0.0,616.0,83.0,145.0,252.0,70.0,66.0,177.0,0.0,43.0,100.0,34.0,0.0,335.0,0.0,121.0,95.0,76.0,37,081,013602,136.02,Guilford County,5.72851805728518,37.110834371108346
Census Tract 137; Guilford County; North Carolina,1675.0,20.0,632.0,618.0,360.0,45.0,638.0,9.0,453.0,158.0,18.0,0.0,656.0,11.0,121.0,365.0,159.0,0.0,157.0,0.0,0.0,40.0,109.0,8.0,224.0,0.0,58.0,55.0,74.0,37,081,013700,137,Guilford County,1.1940298507462688,17.55223880597015
Census Tract 138; Guilford County; North Carolina,1512.0,370.0,519.0,335.0,218.0,70.0,556.0,197.0,258.0,43.0,10.0,48.0,382.0,36.0,180.0,71.0,73.0,22.0,295.0,71.0,38.0,90.0,96.0,0.0,279.0,66.0,43.0,131.0,39.0,37,081,013800,138,Guilford County,24.47089947089947,56.34920634920635
Census Tract 139; Guilford County; North Carolina,1970.0,945.0,514.0,372.0,119.0,20.0,1055.0,634.0,256.0,80.0,85.0,0.0,417.0,112.0,144.0,127.0,26.0,8.0,115.0,51.0,0.0,44.0,8.0,12.0,383.0,148.0,114.0,121.0,0.0,37,081,013900,139,Guilford County,47.96954314720812,69.44162436548223
Census Tract 140; Guilford County; North Carolina,1099.0,172.0,328.0,479.0,77.0,43.0,338.0,125.0,149.0,64.0,0.0,0.0,340.0,47.0,89.0,188.0,0.0,16.0,91.0,0.0,81.0,10.0,0.0,0.0,330.0,0.0,9.0,217.0,77.0,37,081,014000,140,Guilford County,15.650591446769791,52.59326660600546
Census Tract 142; Guilford County; North Carolina,1589.0,113.0,644.0,600.0,152.0,80.0,383.0,45.0,289.0,38.0,11.0,0.0,362.0,0.0,106.0,245.0,11.0,0.0,291.0,48.0,176.0,0.0,67.0,0.0,553.0,20.0,73.0,317.0,63.0,37,081,014200,142,Guilford County,7.11139081183134,49.40213971050976
Census Tract 143; Guilford County; North Carolina,1092.0,174.0,536.0,373.0,9.0,0.0,247.0,82.0,159.0,6.0,0.0,0.0,491.0,32.0,266.0,184.0,9.0,0.0,145.0,38.0,91.0,16.0,0.0,0.0,209.0,22.0,20.0,167.0,0.0,37,081,014300,143,Guilford County,15.934065934065933,67.21611721611721
Census Tract 144.06; Guilford County; North Carolina,1097.0,26.0,204.0,516.0,223.0,128.0,222.0,6.0,104.0,60.0,38.0,14.0,500.0,0.0,50.0,353.0,92.0,5.0,105.0,0.0,9.0,64.0,6.0,26.0,270.0,20.0,41.0,39.0,87.0,37,081,014406,144.06,Guilford County,2.3701002734731085,20.875113947128533
Census Tract 144.07; Guilford County; North Carolina,2499.0,59.0,742.0,827.0,757.0,114.0,821.0,0.0,538.0,242.0,41.0,0.0,813.0,59.0,136.0,439.0,161.0,18.0,588.0,0.0,68.0,56.0,447.0,17.0,277.0,0.0,0.0,90.0,108.0,37,081,014407,144.07,Guilford County,2.3609443777511006,16.366546618647458
Census Tract 144.08; Guilford County; North Carolina,1083.0,3.0,558.0,420.0,80.0,22.0,277.0,3.0,203.0,26.0,45.0,0.0,285.0,0.0,155.0,100.0,30.0,0.0,252.0,0.0,84.0,141.0,5.0,22.0,269.0,0.0,116.0,153.0,0.0,37,081,014408,144.08,Guilford County,0.2770083102493075,60.203139427516156
Census Tract 144.09; Guilford County; North Carolina,1392.0,100.0,571.0,440.0,226.0,55.0,571.0,100.0,368.0,103.0,0.0,0.0,495.0,0.0,154.0,267.0,74.0,0.0,52.0,0.0,20.0,0.0,15.0,17.0,274.0,0.0,29.0,70.0,137.0,37,081,014409,144.09,Guilford County,7.183908045977011,26.79597701149425
Census Tract 144.10; Guilford County; North Carolina,1633.0,108.0,822.0,547.0,142.0,14.0,719.0,94.0,537.0,65.0,9.0,14.0,389.0,0.0,105.0,247.0,37.0,0.0,236.0,0.0,79.0,111.0,46.0,0.0,289.0,14.0,101.0,124.0,50.0,37,081,014410,144.10,Guilford County,6.613594611145132,38.45682792406613
Census Tract 144.11; Guilford County; North Carolina,2205.0,455.0,811.0,526.0,213.0,200.0,1044.0,398.0,506.0,140.0,0.0,0.0,684.0,38.0,133.0,242.0,138.0,133.0,260.0,19.0,60.0,68.0,56.0,57.0,217.0,0.0,112.0,76.0,19.0,37,081,014411,144.11,Guilford County,20.634920634920633,40.997732426303855
Census Tract 144.12; Guilford County; North Carolina,1056.0,58.0,359.0,441.0,144.0,54.0,282.0,13.0,240.0,29.0,0.0,0.0,447.0,45.0,83.0,152.0,124.0,43.0,158.0,0.0,10.0,129.0,8.0,11.0,169.0,0.0,26.0,131.0,12.0,37,081,014412,144.12,Guilford County,5.492424242424242,41.38257575757576
Census Tract 145.01; Guilford County; North Carolina,462.0,58.0,179.0,132.0,34.0,59.0,104.0,25.0,68.0,11.0,0.0,0.0,136.0,13.0,50.0,51.0,11.0,11.0,93.0,0.0,36.0,41.0,0.0,16.0,129.0,20.0,25.0,29.0,23.0,37,081,014501,145.01,Guilford County,12.554112554112553,51.731601731601735
