NAME,Total Population,Total Population Below Poverty Level,Below Poverty Level: Under 6 years old,Below Poverty Level: 6 to 11 years old,Below Poverty Level: 12 to 17 years old,Below Poverty Level: 18 to 59 years old,Below Poverty Level: 60 to 74 years old,Below Poverty Level: 75 to 84 years old,Below Poverty Level: 85 years old and over,state,county,tract,County
Census Tract 202.03; Burke County; North Carolina,2710.0,397.0,0.0,0.0,12.0,274.0,111.0,0.0,0.0,37,23,202.03,Burke County
Census Tract 202.04; Burke County; North Carolina,2560.0,418.0,0.0,25.0,33.0,212.0,48.0,75.0,25.0,37,23,202.04,Burke County
Census Tract 203.01; Burke County; North Carolina,5548.0,855.0,66.0,134.0,103.0,442.0,36.0,11.0,63.0,37,23,203.01,Burke County
Census Tract 203.03; Burke County; North Carolina,4572.0,139.0,0.0,0.0,0.0,44.0,70.0,25.0,0.0,37,23,203.03,Burke County
Census Tract 203.04; Burke County; North Carolina,2241.0,259.0,0.0,11.0,29.0,168.0,39.0,12.0,0.0,37,23,203.04,Burke County
Census Tract 205; Burke County; North Carolina,2822.0,661.0,114.0,119.0,46.0,352.0,30.0,0.0,0.0,37,23,205,Burke County
Census Tract 206; Burke County; North Carolina,6427.0,2543.0,583.0,536.0,456.0,805.0,150.0,0.0,13.0,37,23,206,Burke County
Census Tract 208.01; Burke County; North Carolina,5571.0,1005.0,13.0,26.0,49.0,674.0,198.0,37.0,8.0,37,23,208.01,Burke County
Census Tract 208.02; Burke County; North Carolina,2608.0,130.0,0.0,0.0,21.0,83.0,17.0,9.0,0.0,37,23,208.02,Burke County
Census Tract 209.01; Burke County; North Carolina,3239.0,112.0,32.0,18.0,0.0,51.0,11.0,0.0,0.0,37,23,209.01,Burke County
Census Tract 209.02; Burke County; North Carolina,3536.0,500.0,32.0,61.0,65.0,215.0,90.0,37.0,0.0,37,23,209.02,Burke County
Census Tract 210; Burke County; North Carolina,4966.0,587.0,94.0,28.0,51.0,325.0,58.0,28.0,3.0,37,23,210,Burke County
Census Tract 211; Burke County; North Carolina,6260.0,621.0,17.0,74.0,54.0,370.0,85.0,17.0,4.0,37,23,211,Burke County
Census Tract 212.01; Burke County; North Carolina,4224.0,427.0,78.0,78.0,0.0,183.0,79.0,9.0,0.0,37,23,212.01,Burke County
Census Tract 212.02; Burke County; North Carolina,4436.0,1106.0,0.0,112.0,92.0,755.0,94.0,13.0,40.0,37,23,212.02,Burke County
Census Tract 212.03; Burke County; North Carolina,3197.0,489.0,64.0,0.0,0.0,184.0,118.0,91.0,32.0,37,23,212.03,Burke County
Census Tract 213.01; Burke County; North Carolina,4599.0,1234.0,130.0,109.0,19.0,829.0,139.0,8.0,0.0,37,23,213.01,Burke County
Census Tract 213.02; Burke County; North Carolina,3328.0,700.0,90.0,128.0,30.0,325.0,92.0,35.0,0.0,37,23,213.02,Burke County
Census Tract 214; Burke County; North Carolina,4011.0,822.0,156.0,55.0,85.0,251.0,153.0,7.0,115.0,37,23,214,Burke County
Census Tract 301; Caldwell County; North Carolina,5643.0,936.0,110.0,174.0,38.0,364.0,207.0,43.0,0.0,37,27,301,Caldwell County
Census Tract 302; Caldwell County; North Carolina,5564.0,667.0,0.0,23.0,128.0,320.0,160.0,15.0,21.0,37,27,302,Caldwell County
Census Tract 303; Caldwell County; North Carolina,3610.0,270.0,0.0,0.0,0.0,158.0,23.0,39.0,50.0,37,27,303,Caldwell County
Census Tract 304; Caldwell County; North Carolina,3340.0,639.0,62.0,16.0,62.0,305.0,121.0,13.0,60.0,37,27,304,Caldwell County
Census Tract 305; Caldwell County; North Carolina,5195.0,398.0,15.0,43.0,0.0,99.0,223.0,18.0,0.0,37,27,305,Caldwell County
Census Tract 306; Caldwell County; North Carolina,4642.0,487.0,53.0,76.0,32.0,228.0,55.0,43.0,0.0,37,27,306,Caldwell County
Census Tract 307; Caldwell County; North Carolina,6763.0,1149.0,193.0,133.0,83.0,661.0,75.0,0.0,4.0,37,27,307,Caldwell County
Census Tract 308.01; Caldwell County; North Carolina,2972.0,400.0,61.0,0.0,3.0,132.0,155.0,49.0,0.0,37,27,308.01,Caldwell County
